emosi,dokumen
sadness,"['child', 'pass', 'away', 'short', 'ill', 'eleven', 'month', 'old', 'told', 'death', 'without', 'know', 'ill']"
disgust,"['father', 'promis', 'send', 'pocket', 'money', 'monthend', 'sinc', 'want', 'buy', 'new', 'pair', 'shoe', 'secondari', 'school']"
shame,"['open', 'bathroom', 'without', 'knock', 'know', 'someon', 'bath', 'insid', 'happen', 'father']"
guilt,"['beat', 'young', 'sister', 'refus', 'wash', 'plate', 'start', 'cri', 'felt', 'sorri', 'guilti']"
joy,"['accept', 'colleg', 'footbal', 'team']"
fear,"['fight', 'class', 'mate', 'highschool']"
anger,"['made', 'mistak', 'exam']"
sadness,"['fail', 'examn']"
disgust,"['given', 'duti', 'leader', 'like']"
shame,"['finish', 'homework']"
guilt,"['make', 'mistak', 'offend', 'friend']"
joy,"['articl', 'publish', 'colleg', 'newspap']"
fear,"['walk', 'dark', 'street', 'noon', 'around']"
anger,"['friend', 'misunderstood']"
sadness,"['grandmoth', 'die']"
disgust,"['class', 'leader', 'told', 'collect', 'homework']"
shame,"['finish', 'homework']"
guilt,"['read', 'refer', 'peopl', 'read']"
joy,"['found', 'money', 'road', 'return', 'owner', 'polic']"
fear,['examin']
anger,"['listen', 'long', 'speech', 'parti', 'leader', 'wast', 'time']"
sadness,"['girlfriend', 'left']"
disgust,"['peopl', 'cue', 'colleg', 'dine', 'room']"
shame,"['saw', 'film', 'eight', 'nation', 'armi', 'conquer', 'beij']"
guilt,"['ideal', 'result', 'univers', 'entranc', 'examn', 'guilti', 'famili', 'friend']"
joy,"['help', 'nurseri', 'school']"
fear,"['tell', 'parent', 'well', 'examn']"
anger,"['bed', 'sheet', 'present', 'parent', 'damag', 'roommat']"
sadness,"['accept', 'classmat', 'univers']"
disgust,"['wait', 'bus', 'come', 'long', 'time', 'bus', 'driver', 'long', 'lunch']"
shame,"['good', 'mark', 'like', 'peopl', 'homework']"
guilt,"['hand', 'homework', 'time']"
joy,"['got', 'present', 'friend', 'birthday']"
fear,"['lost', 'purs', 'money', 'purs', 'belong', 'parent']"
anger,"['south', 'korea', 'win', 'gold', 'medal', 'asian', 'olymp', 'china']"
sadness,"['saw', 'villag', 'come', 'still', 'pay', 'money', 'buy', 'wife']"
disgust,"['saw', 'roommat', 'mess', 'room']"
shame,"['found', 'good', 'footbal']"
guilt,"['gave', 'wrong', 'meal', 'ticket', 'peopl', 'classmat']"
joy,"['come', 'lectur', 'listen', 'talk', 'feel', 'happi', 'foreign', 'feel', 'chines']"
fear,"['damag', 'tap', 'resident', 'hall']"
anger,"['mani', 'peopl', 'tv', 'room', 'abl', 'get', 'seat', 'watch', 'tv']"
sadness,"['sister', 'marri', 'bad', 'man', 'cruel']"
disgust,"['saw', 'brotherinlaw', 'insult', 'sister']"
shame,"['sister', 'afraid', 'husband']"
guilt,"['abl', 'help', 'sister', 'understand', 'husband', 'bad', 'man', 'marri']"
joy,"['discuss', 'psycholog', 'friend', 'lectur']"
fear,"['wake', 'bad', 'dream', 'dark', 'night', 'noon', 'els', 'around']"
anger,"['could', 'find', 'month', 'ticket', 'bus', 'bus']"
sadness,"['two', 'littl', 'children', '56', 'year', 'old', 'beg', 'money', 'noon', 'gave', 'money']"
disgust,"['serv', 'ladi', 'student', 'dine', 'hall', 'shout', 'studennt']"
shame,"['sit', 'bus', 'seat', 'suppos', 'disabl', 'peopl', 'children', 'old', 'peopl', 'mistak']"
guilt,"['pass', 'good', 'friend', 'home', 'without', 'come', 'visit']"
joy,"['told', 'psycholog', 'help', 'peopl', 'happier']"
fear,"['left', 'alon', 'dine', 'hall', 'night']"
anger,"['bus', 'conductor', 'insult', 'buy', 'ticket', 'forgot']"
sadness,"['saw', 'father', 'beat', 'small', 'child']"
disgust,"['class', 'leader', 'get', 'thing', 'want']"
shame,"['quick', 'enough', 'help', 'lector', 'catti', 'thing', 'lectur']"
guilt,"['mother', 'wrote', 'said', 'would', 'writ', 'enough', 'letter', 'home']"
joy,"['parent', 'came', 'visit']"
fear,"['could', 'find', 'way', 'colleg', 'build', 'night']"
anger,"['saw', 'tv', 'south', 'korea', 'cheat', 'asian', 'olymp', 'game']"
sadness,"['general', 'ye', 'jiani', 'die']"
disgust,"['girl', 'like', 'kept', 'come', 'talk']"
shame,"['fail', 'examn']"
guilt,"['made', 'misjudg', 'footbal', 'match']"
joy,"['friend', 'told', 'realli', 'like']"
fear,"['get', 'lost', 'strang', 'place']"
anger,"['south', 'korea', 'cheat', 'gold', 'medal']"
sadness,"['friend', 'go', 'field', 'trip', 'told']"
disgust,"['south', 'korean', 'tv']"
shame,"['zhu', 'jianhau', 'break', 'world', 'record', 'china']"
guilt,"['unabl', 'help', 'mother', 'cook']"
joy,"['met', 'friend', 'seen', 'long', 'time', 'street']"
fear,"['go', 'examn', 'well', 'prepar']"
anger,"['overhear', 'peopl', 'talk', 'say', 'stupid']"
sadness,"['hear', 'develop', 'sienc', 'west', 'lot', 'better', 'china']"
disgust,"['foreign', 'student', 'play', 'loud', 'music', 'late', 'night']"
shame,"['abl', 'select', 'danc', 'team']"
guilt,"['get', 'earli', 'enough', 'watch', 'class', 'footbal', 'team', 'play', 'anoth', 'team']"
joy,"['scoar', 'goal', 'footbal', 'match']"
fear,"['left', 'alon', 'dark', 'big', 'build']"
disgust,"['someon', 'call', 'disgust', 'nicknam']"
sadness,"['get', 'someon', 'classmat', 'high', 'school']"
disgust,"['woman', 'pick', 'nose', 'spit', 'right', 'next']"
shame,"['brave', 'enough', 'take', 'challeng', 'group', 'discuss']"
guilt,"['good', 'host', 'friend', 'far', 'away', 'place']"
joy,"['class', 'win', 'anoth', 'class', 'footbal', 'match']"
fear,"['walk', 'alon', 'dark', 'strang', 'street']"
guilt,"['friend', 'forgot', 'appoint']"
sadness,"['friend', 'misunderstood']"
shame,"['boy', 'class', 'talk', 'loud', 'lectur']"
shame,"['abl', 'parti', 'home', 'friend']"
joy,"['miser', 'parti', 'peopl', 'friend', 'happi']"
joy,"['meet', 'old', 'friend', 'high', 'school']"
fear,"['face', 'mad', 'dog']"
sadness,"['misunderstood', 'deliber', 'close', 'friend']"
sadness,"['old', 'teacher', 'primari', 'school', 'die']"
disgust,"['get', 'crowd', 'bus']"
anger,"['rude', 'somebodi', 'impolit']"
sadness,"['accept', 'hint', 'intim', 'relat', 'girl']"
joy,"['old', 'friend', 'visit', 'univers']"
fear,"['listen', 'horrot', 'stori', 'night']"
anger,"['roommat', 'rude']"
sadness,"['uncl', 'die', 'vietnam', 'war']"
disgust,"['cue', 'student', 'dine', 'hall']"
anger,"['argu', 'price', 'privat', 'shopassist']"
guilt,"['abl', 'spend', 'time', 'friend', 'visit']"
joy,"['score', 'goal', 'footbal', 'match']"
fear,"['find', 'abl', 'student', 'thought']"
anger,"['told', 'someth', 'want']"
sadness,"['find', 'china', 'still', 'backward', 'scienc']"
anger,"['pointless', 'questionnair']"
disgust,"['insult', 'somebodi']"
anger,['questionnair']
anger,"['saw', 'tv', 'china', 'gold', 'medal', 'asian', 'olymp']"
fear,"['arriv', 'univers', 'know', 'anybodi']"
shame,"['insult', 'teacher']"
sadness,"['find', 'good', 'look']"
anger,"['someon', 'like', 'kept', 'talk']"
shame,"['find', 'lectur', 'china', 'backward', 'psycholog']"
anger,"['rude', 'someon', 'like']"
joy,"['join', 'research', 'group', 'studi', 'consum', 'behaviour', 'help', 'peopl', 'shop', 'sale']"
sadness,"['diagnosi', 'stomach', 'ulcer']"
anger,"['classmat', 'damag', 'iron', 'tri', 'hide', 'damag']"
sadness,"['win', 'medal', 'swim', 'contest']"
disgust,"['student', 'talk', 'peopl', 'nap']"
guilt,"['friend', 'ask', 'help', 'abl', 'help']"
joy,"['china', 'win', 'asian', 'olymp']"
fear,['exam']
shame,"['korean', 'judg', 'cheat']"
sadness,"['father', 'left', 'us', 'anoth', 'woman']"
disgust,"['saw', 'father', 'woman', 'marri']"
shame,"['tell', 'peopl', 'parent', 'divorc']"
guilt,"['bee', 'abl', 'stay', 'mother', 'nation', 'day', 'holiday']"
joy,"['togeth', 'best', 'friend']"
fear,"['almost', 'bicycl', 'accid']"
sadness,"['heard', 'someon', 'tell', 'lie', 'best', 'friend']"
disgust,"['best', 'friend', 'sudden', 'act', 'strang', 'toward']"
disgust,"['saw', 'someon', 'mess', 'room']"
sadness,"['shout', 'friend']"
guilt,"['promis', 'friend']"
joy,"['best', 'friend', 'chosen', 'english', 'lectur']"
sadness,"['get', 'ill']"
anger,"['class', 'leader', 'told', 'univers', 'let', 'us', 'go', 'lectur', 'english', 'class']"
sadness,"['chosen', 'go', 'english', 'lectur']"
sadness,"['find', 'class', 'leader', 'go', 'lectur', 'english', 'wors', 'mine']"
shame,"['china', 'can', 'not', 'let', 'give', 'lectur', 'need', 'specialist', 'clinic', 'backward', 'medicin']"
guilt,"['hate', 'let', 'go', 'found', 'decis']"
sadness,"['find', 'best', 'friend', 'can', 'not', 'go', 'english', 'lectur']"
disgust,"['heard', 'postgradu', 'student', 'talk', 'girl', 'unsiut', 'medicin']"
sadness,"['fail', 'exam']"
shame,"['abl', 'convinc', 'class', 'leader', 'friend', 'better', 'go', 'english', 'lectur']"
joy,"['receiv', 'letter', 'boy', 'care']"
fear,"['watch', 'horror', 'film']"
sadness,"['parent', 'like', 'friend', 'told', 'go']"
sadness,"['grandmoth', 'die']"
disgust,"['saw', 'someon', 'spit', 'public']"
sadness,"['fail', 'examn', 'lazy']"
sadness,"['lose', 'temper', 'sister']"
joy,"['find', 'go', 'english', 'lectur']"
fear,"['stay', 'alon', 'dark', 'place']"
disgust,"['sexual', 'assult', 'bus']"
sadness,"['find', 'best', 'friend', 'could', 'go', 'univers']"
disgust,"['boy', 'cue', 'dine', 'hall']"
joy,"['watch', 'tv', 'china', 'behind', 'win', 'gold', 'medal']"
guilt,"['abl', 'help', 'friend', 'homework']"
joy,"['get', 'univers']"
disgust,"['beaten', 'classmat', 'school']"
shame,"['insult', 'public']"
sadness,"['girl', 'love', 'love']"
disgust,"['saw', 'girl', 'dress', 'like', 'american']"
shame,"['fail', 'univers', 'entranc', 'examn']"
shame,"['hand', 'homework', 'time']"
joy,"['get', 'univers', 'medicin']"
fear,"['first', 'time', 'anatomi']"
guilt,"['misunderstood', 'close', 'friend', 'wrong', 'reason']"
sadness,"['find', 'china', 'poor', 'can', 'not', 'good', 'refer', 'book']"
shame,"['foreign', 'student', 'play', 'loud', 'music', 'night', 'biolog', 'examn']"
shame,"['find', 'univers', 'polic', 'afraid', 'stop', 'foreign', 'student', 'play', 'loud', 'music', 'china', 'shame']"
shame,"['well', 'examn']"
joy,"['aticl', 'publish']"
joy,"['earth', 'crake']"
anger,"['made', 'statement', 'peopl', 'believ']"
shame,"['saw', 'poverti', 'countrysid']"
disgust,"['saw', 'chines', 'peopl', 'flatter', 'foreign']"
guilt,"['abl', 'argu', 'class', 'leader']"
guilt,"['could', 'help', 'student', 'need', 'help']"
joy,"['china', 'win', 'asian', 'olymp', 'game']"
fear,"['stay', 'alon', 'dark']"
anger,"['put', 'class', 'leader']"
sadness,"['find', 'life', 'span', 'china', 'shorter', 'west']"
disgust,"['girl', 'dress', 'like', 'foreign', 'univers']"
shame,"['insult', 'public']"
disgust,"['insult', 'peopl']"
joy,"['found', 'travel', 'best', 'friend']"
fear,"['walk', 'home', 'dark', 'colleg']"
anger,"['find', 'deceiv', 'friend']"
shame,"['well', 'examn']"
anger,"['find', 'best', 'friend', 'deceiv']"
guilt,"['fail', 'examn', 'work', 'hard', 'enough']"
shame,"['act', 'promis']"
joy,"['find', 'ill', 'serious']"
fear,"['find', 'health', 'condit', 'may', 'attend', 'univers', 'lectur']"
anger,"['bought', 'someth', 'bad', 'shop', 'refus', 'chang']"
sadness,"['relat', 'death']"
disgust,"['saw', 'peopl', 'quarrel', 'bus']"
sadness,"['run', 'away', 'fire']"
guilt,"['forgot', 'give', 'present', 'littl', 'nephew']"
joy,"['first', 'public', 'speak']"
fear,"['go', 'alon', 'dark']"
disgust,"['saw', 'young', 'peopl', 'fight', 'seat', 'bus']"
sadness,"['mother', 'death']"
disgust,"['saw', 'peopl', 'spit', 'public']"
shame,"['went', 'lectur', 'chines', 'histori', 'hear', 'opium', 'war']"
joy,"['fall', 'love']"
sadness,"['friend', 'find', 'love']"
anger,"['fall', 'love', 'although', 'friend', 'angri']"
sadness,"['friend', 'still', 'trust', 'friend']"
disgust,"['someon', 'arrog']"
shame,"['insult', 'teacher', 'front', 'class']"
sadness,"['fall', 'love', 'close', 'friend']"
joy,"['unexpect', 'well', 'examn']"
joy,['examn']
guilt,"['want', 'borrow', 'lectur', 'note', 'friend', 'lend']"
anger,"['find', 'univers', 'enough', 'foreign', 'currenc', 'buy', 'yournal', 'refer', 'list']"
shame,"['someon', 'told', 'chosen', 'english', 'lectur', 'good', 'friend', 'class', 'leader']"
anger,"['find', 'chines', 'money', 'can', 'not', 'buy', 'foreign', 'journal']"
guilt,"['late', 'lectur', 'therefor', 'miss']"
joy,"['talk', 'close', 'friend']"
fear,"['ran', 'park', 'car', 'bicycl']"
shame,"['insult', 'reason']"
sadness,"['bad', 'examn']"
disgust,"['saw', 'man', 'dress', 'woman']"
disgust,"['saw', 'beggar', 'street', 'china', 'still', 'poor']"
guilt,"['could', 'buy', 'refer', 'book', 'got', 'late', 'cue']"
joy,"['found', 'best', 'friend', 'chosen', 'english', 'lectur']"
shame,"['may', 'clever', 'enough', 'understand', 'english', 'lectur']"
anger,"['told', 'peopl', 'class', 'leader', 'choos', 'friend', 'true']"
sadness,"['one', 'best', 'friend', 'hurt', 'girl', 'love']"
disgust,"['saw', 'arrog', 'girl', 'walk', 'like', 'queen']"
shame,"['china', 'can', 'not', 'buy', 'refer']"
guilt,"['friend', 'ask', 'borrow', 'note', 'give', 'away', 'note', 'bad', 'written']"
joy,"['talk', 'close', 'friend']"
sadness,"['get', 'ill']"
shame,"['fail', 'elect', 'class', 'leader']"
anger,"['father', 'lost', 'temper', 'home', 'mistreat', 'work']"
disgust,"['saw', 'someon', 'pick', 'cigarett', 'floor', 'smoke']"
shame,"['tell', 'lie']"
shame,"['get', 'class', 'paper', 'time', 'lectur']"
joy,"['father', 'promot', 'professor']"
fear,"['anatomi', 'lesson', 'told', 'night', 'sometim']"
guilt,"['argument', 'classmat', 'borrow', 'book']"
shame,"['find', 'can', 'not', 'good', 'refer', 'china', 'poor']"
disgust,"['saw', 'someon', 'lick', 'dine', 'bowl']"
shame,"['critic', 'front', 'class']"
shame,"['finish', 'homework', 'time']"
joy,"['found', 'girl', 'love', 'love']"
fear,"['read', 'horror', 'stori', 'alon']"
anger,"['refus', 'attend', 'neuropsycholog', 'lectur', 'medic', 'univers']"
sadness,"['parent', 'told', 'like', 'friend']"
disgust,"['saw', 'arrog', 'girl', 'walk', 'pass']"
anger,"['finish', 'duti', 'class', 'leader']"
guilt,"['friend', 'troubl', 'abl', 'help']"
joy,"['china', 'win', 'asian', 'olymp', 'game', 'tv']"
fear,"['left', 'alon', 'biolog', 'build', 'surround', 'empti', 'build']"
shame,"['someon', 'told', 'good', 'english', 'class']"
shame,"['get', 'refer', 'paper']"
disgust,"['cue', 'bus', 'driver', 'long', 'dinner']"
shame,"['finish', 'homework']"
guilt,"['return', 'librari', 'book', 'time']"
joy,"['hear', 'nice', 'joke', 'made', 'friend']"
fear,"['think', 'death', 'walk', 'alon', 'night']"
shame,"['found', 'someon', 'knew', 'well', 'misunderstand', '2', 'year']"
sadness,"['death', 'relat']"
shame,"['someon', 'know', 'respect', 'sexual', 'assult', 'girl']"
disgust,"['father', 'insult', 'peopl']"
anger,"['made', 'mistak', 'work']"
joy,"['found', 'name', 'list', 'attend', 'english', 'lectur']"
joy,"['anatomi', 'alon', 'first', 'time']"
shame,"['insult', 'front', 'parent', 'believ', 'peopl', 'insult']"
sadness,"['death', 'general', 'ye', 'jiani']"
disgust,"['someon', 'stolen', 'articl', 'librari', 'journal']"
shame,"['well', 'examn']"
guilt,"['finish', 'homework', 'time']"
joy,"['well', 'examn', 'father', 'birthday', 'best', 'present', 'give', 'father']"
fear,"['ask', 'someon', 'bring', 'present', 'father', 'found', 'reliabl', 'person', 'afraid', 'father', 'would', 'get', 'present', 'would', 'angri']"
anger,"['classmat', 'said', 'enough', 'social', 'work', 'therefor', 'elect', 'tree', 'good', 'student']"
sadness,"['father', 'pleas', 'elect', 'three', 'good']"
disgust,"['roommat', 'lack', 'consider']"
shame,"['sister', 'said', 'stabl', 'person', 'think', 'right']"
guilt,"['sister', 'forgot', 'bring', 'present', 'birthday', 'rude']"
joy,"['nice', 'letter', 'close', 'friend']"
fear,"['stay', 'alon', 'biolog', 'build', 'dark']"
anger,"['insult', 'roommat', 'english', 'class']"
sadness,"['abl', 'well', 'chosen', 'english', 'lectur']"
disgust,"['roommat', 'boast', 'english', 'lectur']"
shame,"['class', 'leader', 'read', 'name', 'chosen', 'english', 'lectur', 'list']"
guilt,"['boy', 'told', 'nicknam', 'littl', 'girl', 'doctor', 'tell', 'laugh']"
joy,"['relat', 'visit']"
fear,"['find', 'great', 'differ', 'china', 'west', 'scienc']"
disgust,"['saw', 'unfair', 'report']"
disgust,"['lectur', 'unfair', 'report']"
anger,"['find', 'student', 'get', 'good', 'report', 'deserv']"
anger,"['peopl', 'impolit', 'get', 'good', 'report']"
anger,"['kick', 'chair', 'classroom', 'express', 'anger']"
joy,"['find', 'chosen', 'english', 'lectur']"
fear,"['roommat', 'refus', 'walk', 'english', 'lectur', 'walk', 'alon', 'dark', 'lectur', 'biolog', 'build']"
anger,"['roommat', 'unconsider']"
shame,"['best', 'friend', 'chosen', 'english', 'lectur']"
shame,"['someon', 'told', 'chosen', 'english', 'lectur', 'good', 'look']"
shame,"['well', 'examn']"
fear,"['boy', 'talk', 'nicknam', 'lectur', 'afraid', 'stop']"
joy,"['found', 'wife', 'pregnant']"
joy,"['boat', 'run', 'anoth', 'boat']"
anger,"['punish', 'leader']"
sadness,"['teacher', 'death']"
disgust,"['saw', 'mate', 'bribe', 'leader']"
shame,"['insult', 'woman', 'public']"
disgust,"['fight', 'mate', 'quarrel']"
joy,"['receiv', 'nice', 'present', 'parent']"
anger,"['find', 'made', 'stupid', 'mistak', 'examn']"
anger,"['find', 'girl', 'nice', 'class', 'leader', 'order', 'go', 'neuropsycholog', 'lectur', 'english', 'one']"
shame,"['find', 'chosen', 'english', 'lectur']"
sadness,"['student', 'whose', 'english', 'wors', 'mine', 'go', 'lectur', 'english', 'lectur']"
shame,"['insult', 'classmat', 'public']"
shame,"['hand', 'homework', 'time']"
joy,"['articl', 'publish']"
fear,"['walk', 'dark', 'think', 'ghost', 'stori']"
shame,"['insult', 'letter', 'father']"
sadness,"['misunderstood', 'friend']"
disgust,"['saw', 'someon', 'act', 'fals', 'manner', 'public']"
shame,"['fail', 'piblic', 'argument']"
guilt,"['promis', 'someth', 'peopl']"
joy,"['find', 'chosen', 'collect', 'norm', 'chines', 'aphasia', 'contribut', 'china', 'catch', 'west', 'neuropsycholog']"
fear,"['find', 'lectur', 'doctor', 'make', 'misdiagnos', 'ignor', 'neuropsycholog']"
anger,"['someon', 'talk', 'back']"
sadness,"['found', 'grandmoth', 'might', 'misdiagnos', 'psychiatr', 'patient', 'doctor', 'know', 'neurolog']"
disgust,"['student', 'deliber', 'disobey', 'class', 'leader']"
shame,"['find', 'china', 'backward', 'scienc']"
guilt,"['student', 'call', 'lectur', 'nicknam', 'abl', 'find', 'stop']"
joy,"['go', 'concert']"
fear,"['find', 'boy', 'like', 'love']"
anger,"['told', 'got', 'person']"
sadness,"['power', 'cut', 'made', 'unabl', 'listen', 'song', 'sung', 'favourit', 'pop', 'star']"
disgust,"['someon', 'act', 'stupid', 'public']"
shame,"['abl', 'answer', 'question', 'seminar']"
guilt,"['said', 'someth', 'said', 'public']"
joy,"['talk', 'close', 'friend']"
fear,"['hear', 'strang', 'nois', 'biolog', 'build']"
anger,"['insult', 'peopl', 'shop']"
sadness,"['good', 'friend', 'misunderstood']"
disgust,"['look', 'someon', 'like']"
shame,"['chosen', 'english', 'lectur', 'instead', 'good', 'friend', 'peopl', 'told', 'girl', 'like', 'chosen']"
guilt,"['abl', 'explain', 'well', 'good', 'friend', 'make', 'less', 'angri']"
joy,"['find', 'person', 'love', 'understand']"
fear,"['watch', 'horror', 'film']"
anger,"['mistreat', 'peopl']"
sadness,"['deceiv', 'peopl', 'ran', 'troubl']"
disgust,"['saw', 'selfish', 'person', 'selfish', 'thing']"
shame,"['well', 'examn']"
guilt,"['find', 'misunderstood', 'peopl']"
joy,"['hear', 'name', 'list', 'attend', 'english', 'lectur']"
fear,"['stay', 'alon', 'room', 'midnight', 'read', 'horror', 'stori']"
anger,"['told', 'stupid', 'person']"
sadness,"['parent', 'fail', 'visit', 'promis']"
disgust,"['peopl', 'cue', 'dine', 'hall']"
shame,"['saw', 'tv', 'china', 'win', 'gold', 'medal', 'asian', 'olymp']"
guilt,"['hand', 'homework', 'time']"
joy,"['good', 'trip', 'boat', 'good', 'friend']"
fear,"['saw', 'classmat', 'knock', 'motorcycl']"
anger,"['sexual', 'assult', 'bus', 'noon', 'help', 'peopl', 'laugh']"
sadness,"['sexual', 'assult', 'told', 'friend', 'cri', 'togeth']"
disgust,"['heard', 'someon', 'boast', 'fortun', 'tell', 'knew', 'lie']"
shame,"['critic', 'teacher', 'public']"
guilt,"['shout', 'parent', 'angri', 'someth', 'els']"
joy,"['go', 'see', 'good', 'film', 'best', 'friend']"
fear,"['sudden', 'found', 'lasr', 'one', 'leav', 'anatomi', 'room']"
anger,"['boy', 'deliber', 'play', 'trick', 'experi']"
sadness,"['iqam', 'chosen', 'lectur', 'best', 'friend', 'angri', 'can', 'not', 'help']"
disgust,"['listen', 'roommat', 'boast', 'new', 'cloth']"
shame,"['china', 'win', 'gold', 'medal', 'asian', 'olymp']"
guilt,"['abl', 'help', 'friend', 'studi', 'english']"
joy,"['elect', 'class', 'leader']"
fear,"['walk', 'dark', 'saw', 'someth', 'strang']"
anger,"['prejudic', 'psycholog', 'student', 'educ', 'student', 'allow', 'us', 'go', 'medic', 'univers', 'lectur']"
sadness,"['friend', 'brother', 'die']"
disgust,"['wurm', 'drop', 'head']"
shame,"['well', 'examn', 'easi']"
guilt,"['wrong', 'accus', 'classmat']"
joy,"['get', 'univers', 'medicin']"
fear,"['first', 'time', 'anatomi']"
anger,"['insult', 'public', 'wrong', 'reason']"
sadness,"['chosen', 'english', 'lectur', 'girlfriend', 'chosen']"
disgust,"['roommat', 'mess', 'room']"
shame,"['well', 'examn', 'well', 'english', 'examn']"
guilt,"['heard', 'girlfriend', 'chosen', 'english', 'lectur', 'lost', 'temper', 'upset']"
joy,"['success', 'univers', 'entranc', 'examin']"
fear,"['help', 'someon', 'someth', 'found']"
anger,"['misunderstood', 'friend']"
sadness,"['mother', 'ill', 'father', 'home']"
disgust,"['roommat', 'nice', 'parti', 'leader', 'order', 'get', 'parti']"
shame,"['china', 'well', 'asian', 'olymp', 'game']"
guilt,"['collect', 'letter', 'friend', 'al', 'promis']"
joy,"['well', 'examn']"
fear,['examn']
anger,"['foreign', 'student', 'play', 'loud', 'music', 'biolog', 'examn']"
sadness,"['find', 'girl', 'like', 'like']"
disgust,"['saw', 'two', 'canadian', 'student', 'boast', 'rich', 'canada']"
shame,"['find', 'china', 'enough', 'foreign', 'currenc', 'buy', 'book']"
guilt,"['call', 'lectur', 'nicknam', 'talk', 'housemen', 'told', 'ne', 'even', 'younger', 'give', 'public', 'lectur']"
joy,"['letter', 'father', 'usual', 'write']"
fear,"['alon', 'room', 'night']"
anger,"['quarrel', 'classmat']"
sadness,"['father', 'told', 'letter', 'mother', 'ill']"
disgust,"['roommat', 'talk', 'shake', 'bed', 'night']"
shame,"['find', 'deceiv', 'friend']"
guilt,"['friend', 'came', 'visit']"
joy,"['find', 'name', 'list', 'english', 'lectur']"
fear,"['walk', 'biolog', 'build']"
anger,"['someon', 'told', 'chosen', 'english', 'lectur', 'class', 'leader', 'go', 'true']"
sadness,"['sister', 'bkoke', 'leg']"
disgust,"['boy', 'boast', 'abil', 'tell', 'dirti', 'joke']"
shame,"['find', 'china', 'backward', 'scienc']"
guilt,"['housemen', 'told', 'young', 'girl', 'like', 'allow', 'lectur', 'consult', 'shi', 'argu']"
joy,"['made', 'wonder', 'driend', 'understand']"
fear,"['chase', 'dark', 'someon', 'know']"
anger,"['best', 'friend', 'betray', 'told', 'peopl', 'secret']"
sadness,"['disappoint', 'friend']"
disgust,"['find', 'peopl', 'talk', 'back']"
shame,"['sexual', 'assult', 'public']"
guilt,"['repli', 'friend', 'letter', 'time']"
joy,"['watch', 'china', 'win', 'asian', 'olymp', 'game']"
fear,"['sudden', 'met', 'someon', 'biolog', 'build', 'night']"
anger,"['insult', 'roommat']"
guilt,"['get', 'airplan', 'ticket', 'fot', 'mother']"
joy,"['talk', 'nice', 'girl']"
fear,"['talk', 'snake']"
anger,"['peopl', 'resprct', 'opinion']"
sadness,"['lost', 'girlfriend']"
disgust,"['talk', 'someon', 'dislik']"
shame,"['critic', 'teacher', 'public']"
guilt,"['abl', 'help', 'friend']"
joy,"['get', 'letter', 'friend', 'write', 'long', 'time']"
fear,"['stay', 'relat', 'hous', 'broken']"
anger,"['insult', 'bus']"
sadness,"['insult', 'mother']"
disgust,"['relat', 'act', 'promis']"
shame,"['first', 'time', 'go', 'boy', 'peopl', 'laugh', 'us']"
guilt,"['friend', 'want', 'give', 'surpris', 'room', 'thought', 'steal', 'room']"
joy,"['ask', 'go', 'someon', 'care']"
fear,"['import', 'examn']"
anger,"['parent', 'like', 'friend', 'told', 'stay', 'away']"
sadness,"['friend', 'allow', 'go', 'english', 'lectur']"
disgust,"['postgradu', 'student', 'talk', 'girl', 'stupid']"
shame,"['ctitic', 'teacher', 'public']"
guilt,"['friend', 'well', 'examn', 'help']"
joy,"['went', 'picnic', 'countri', 'side', 'park', 'beauti', 'scenari', 'made', 'feel', 'relax', 'everi', 'worri', 'disappear', 'thus', 'picnic', 'worthwhil']"
fear,"['afraid', 'academ', 'result', 'face', 'sever', 'problem', 'scare', 'limit', 'unlimit', 'problem', 'know', 'cope']"
anger,"['quarrel', 'brother', 'twin', 'home', 'saturday', 'one', 'studi', 'privat', 'school', 'one', 'repeat', 'form', 'five', 'know', 'follow', 'everi', 'word', 'teacher', 'book', 'system', 'alway', 'tri', 'ration', 'bad', 'act', 'game', 'satisfi', 'awkward', 'life', 'tri', 'persuad', 'often', 'fail', 'time', 'fight', 'voluntari', 'spirit', 'polish', 'floor']"
sadness,"['think', 'chang', 'major', 'month', 'origin', 'major', 'chines', 'languag', 'block', 'way', 'face', 'mani', 'problem', 'sametim', 'know', 'real', 'virtuous', 'know', 'interest', 'chines', 'factor', 'make', 'sad', 'clear', 'studi', 'communic', 'journal', 'clear', 'limit', 'hesit', 'feel', 'adjust']"
disgust,"['forc', 'get', 'togeth', 'strang', 'disgust', 'classmat', 'thing', 'talk', 'disgust', 'made', 'feel', 'ill', 'eas', 'knew', 'would', 'feel', 'unhappi', 'stay', 'defeat', 'social', 'norm']"
shame,"['obvious', 'done', 'work', 'bad', 'classmat', 'student', 'associ', 'blame', 'help', 'work']"
guilt,"['done', 'assign', 'serious', 'pretend', 'finish', 'work', 'work', 'mean', 'whole', 'thing', 'made', 'feel', 'guilti']"
joy,"['preach', 'f3', 'student', 'gospel', 'camp', 'thus', 'knew', 'god', 'made', 'mind', 'believ', 'jesus']"
fear,"['doctor', 'told', 'someth', 'wrong', 'eye', 'undergo', 'oper']"
anger,"['left', 'student', 'newspap', 'chines', 'univers', 'tabl', 'librari', 'disappear', 'came', 'back']"
sadness,"['one', 'classmat', 'diseas', 'unexpect', 'coma', 'six', 'day', 'hospit', 'die']"
